exposure_country_name,mortality_country_name
Afghanistan,Afghanistan
Albania,Albania
Algeria,Algeria
Angola,Angola
Anguilla,
Antigua and Barbuda,Antigua and Barbuda
Argentina,Argentina
Armenia,Armenia
Austria,Austria
Azerbaijan,Azerbaijan
Bahamas,Bahamas
Bahrain,Bahrain
Bangladesh,Bangladesh
Barbados,Barbados
Belarus,Belarus
Belgium,Belgium
Belize,Belize
Benin,Benin
Bhutan,Bhutan
Bolivia,Bolivia (Plurinational State of)
Bosnia and Herzegovina,Bosnia and Herzegovina
Botswana,Botswana
Brazil,Brazil
Brunei,Brunei Darussalam
Bulgaria,Bulgaria
Burkina Faso,Burkina Faso
Burma (Myanmar),Myanmar
Burundi,Burundi
Cabo Verde,Cabo Verde
Cambodia,Cambodia
Cameroon,Cameroon
Canada,Canada
Central African Republic,Central African Republic
Chad,Chad
Chile,Chile
"China (Hong Kong, S.A.R., P.R.C.)",
"China (Macau, S.A.R., P.R.C.)",
China (P.R.C.),
China (Tibet),
Colombia,Colombia
Comoros,Comoros
Congo (Brazzaville),Republic of the Congo
Congo (Kinshasa),Democratic Republic of the Congo
Costa Rica,Costa Rica
Cote d'Ivoire,C̫te d'Ivoire
Croatia,Croatia
Cuba,Cuba
Cyprus,Cyprus
Czechia,Czechia
Czechoslovakia (former),
Djibouti,Djibouti
Dominica,Dominica
Dominican Republic,Dominican Republic
Ecuador,Ecuador
Egypt,Egypt
El Salvador,El Salvador
Equatorial Guinea,Equatorial Guinea
Eritrea,Eritrea
Estonia,Estonia
Eswatini,Eswatini
Ethiopia,Ethiopia
Fiji,Fiji
France,France
French Guiana,
French Polynesia,
Gabon,Gabon
Gambia,Gambia
Georgia,Georgia
Ghana,Ghana
Greece,Greece
Greenland,Greenland
Grenada,Grenada
Guatemala,Guatemala
Guinea,Guinea
Guinea-Bissau,Guinea-Bissau
Guyana,Guyana
Haiti,Haiti
Honduras,Honduras
Hungary,Hungary
India,India
Indonesia,Indonesia
Iran,Iran (Islamic Republic of)
Iraq,Iraq
Ireland,Ireland
Israel,Israel
Italy,Italy
Jamaica,Jamaica
Japan,Japan
Jordan,Jordan
Kazakhstan,Kazakhstan
Kenya,Kenya
"Kiribati, Republic of",Kiribati
"Korea, Democratic Republic of",Democratic People's Republic of Korea
"Korea, Republic of",Republic of Korea
Kosovo,
Kuwait,Kuwait
Kyrgyzstan,Kyrgyzstan
Laos,Lao People's Democratic Republic
Latvia,Latvia
Lebanon,Lebanon
Lesotho,Lesotho
Liberia,Liberia
Libya,Libya
Lithuania,Lithuania
Madagascar,Madagascar
Malawi,Malawi
Malaysia,Malaysia
Maldives,Maldives
Mali,Mali
Malta,Malta
Marshall Islands,Marshall Islands
Mauritania,Mauritania
Mauritius,Mauritius
Mexico,Mexico
"Micronesia, Federated States of",Micronesia (Federated States of)
Moldova,Republic of Moldova
Mongolia,Mongolia
Montenegro,Montenegro
Morocco,Morocco
Mozambique,Mozambique
Namibia,Namibia
Nepal,Nepal
Netherlands,Netherlands
New Zealand,New Zealand
Nicaragua,Nicaragua
Niger,Niger
Nigeria,Nigeria
North Macedonia,North Macedonia
Oman,Oman
Pacific Island Trust Territory,
Pakistan,Pakistan
Palau,Palau
Panama,Panama
Papua New Guinea,Papua New Guinea
Paraguay,Paraguay
Peru,Peru
Philippines,Philippines
Poland,Poland
Portugal,Portugal
Qatar,Qatar
Romania,Romania
Russia,Russian Federation
Rwanda,Rwanda
Samoa,Samoa
Sao Tome and Principe,Sao Tome and Principe
Saudi Arabia,Saudi Arabia
Senegal,Senegal
Serbia,Serbia
Serbia and Montenegro (former),
Seychelles,Seychelles
Sierra Leone,Sierra Leone
Singapore,Singapore
Slovak Republic,
Slovenia,Slovenia
Solomon Islands,Solomon Islands
Somalia,Somalia
South Africa,South Africa
South Sudan,South Sudan
Spain,Spain
Sri Lanka,Sri Lanka
St. Kitts and Nevis,Saint Kitts and Nevis
St. Lucia,Saint Lucia
St. Vincent and Grenadines,Saint Vincent and the Grenadines
Sudan (former),Sudan
Suriname,Suriname
Sweden,Sweden
Switzerland,Switzerland
Syria,Syrian Arab Republic
Taiwan,Taiwan (Province of China)
Tajikistan,Tajikistan
Tanzania,United Republic of Tanzania
Thailand,Thailand
Timor-Leste,Timor-Leste
Togo,Togo
Tonga,Tonga
Trinidad and Tobago,Trinidad and Tobago
Tunisia,Tunisia
Turkey,Turkey
Turkmenistan,Turkmenistan
Tuvalu,Tuvalu
Uganda,Uganda
Ukraine,Ukraine
United Arab Emirates,United Arab Emirates
United Kingdom,United Kingdom
Uruguay,Uruguay
Uzbekistan,Uzbekistan
Vanuatu,Vanuatu
Venezuela,Venezuela (Bolivarian Republic of)
Vietnam,Viet Nam
West Bank and Gaza,Palestine
Yemen,Yemen
Zambia,Zambia
Zimbabwe,Zimbabwe
